episode,reward,length,loss,epsilon
1,20,21,0,1
2,10,11,0.958774,0.999
3,16,17,0.714427,0.982152
4,14,15,0.422818,0.967523
5,24,25,0.27306,0.943623
6,12,13,0.16942,0.931429
7,41,42,0.121002,0.8931
8,13,14,0.0735393,0.880678
9,16,17,0.0860583,0.865825
10,15,16,0.122921,0.852076
11,22,23,0.0771591,0.832692
12,14,15,0.0865483,0.820289
13,39,40,0.0889235,0.788109
14,12,13,0.0847231,0.777925
15,13,14,0.0677379,0.767104
16,13,14,0.0841666,0.756434
17,12,13,0.0671877,0.746659
18,18,19,0.0772537,0.7326
19,15,16,0.0735703,0.720966
20,8,9,0.0623311,0.714503
21,24,25,0.115124,0.696853
22,22,23,0.0902679,0.681001
23,9,10,0.0967532,0.674221
24,9,10,0.0977878,0.667509
25,22,23,0.108124,0.652324
26,10,11,0.108083,0.645184
27,11,12,0.0930881,0.637485
28,16,17,0.081331,0.626734
29,19,20,0.0806552,0.614317
30,33,34,0.0964353,0.593772
31,14,15,0.110294,0.584927
32,16,17,0.112404,0.575062
33,13,14,0.123495,0.567064
34,9,10,0.0787092,0.561418
35,19,20,0.0977637,0.550296
36,9,10,0.12018,0.544818
37,11,12,0.12328,0.538316
38,24,25,0.126492,0.525018
39,20,21,0.124833,0.514102
40,13,14,0.121051,0.506952
41,11,12,0.115761,0.500902
42,10,11,0.0800821,0.495419
43,25,26,0.125728,0.482698
44,9,10,0.0986636,0.477893
45,11,12,0.0897948,0.472189
46,13,14,0.0677056,0.465621
47,12,13,0.120409,0.459605
48,10,11,0.0929823,0.454574
49,10,11,0.0891391,0.449599
50,13,14,0.153371,0.443345
51,12,13,0.117934,0.437616
52,30,31,0.129478,0.424252
53,9,10,0.115854,0.420028
54,17,18,0.124826,0.412531
55,10,11,0.142076,0.408016
56,10,11,0.116603,0.40355
57,16,17,0.16191,0.396745
58,16,17,0.175219,0.390054
59,10,11,0.124917,0.385785
60,10,11,0.121518,0.381562
61,9,10,0.20928,0.377764
62,10,11,0.123876,0.373629
63,18,19,0.113028,0.366593
64,10,11,0.176939,0.362581
65,15,16,0.182144,0.356823
66,17,18,0.206145,0.350455
67,15,16,0.193997,0.344889
68,8,9,0.127163,0.341797
69,10,11,0.177953,0.338056
70,35,36,0.160016,0.326097
71,8,9,0.179201,0.323174
72,8,9,0.123948,0.320277
73,8,9,0.148012,0.317406
74,8,9,0.13968,0.314561
75,9,10,0.110571,0.311429
76,10,11,0.204609,0.308021
77,20,21,0.175467,0.301616
78,10,11,0.197369,0.298315
79,9,10,0.161053,0.295345
80,9,10,0.147136,0.292405
81,15,16,0.147543,0.287762
82,14,15,0.1082,0.283475
83,18,19,0.140518,0.278137
84,19,20,0.110044,0.272627
85,12,13,0.207275,0.269104
86,48,49,0.15539,0.25623
87,10,11,0.172045,0.253425
88,10,11,0.17372,0.250651
89,12,13,0.0865141,0.247412
90,33,34,0.127582,0.239138
91,11,12,0.144252,0.236284
92,16,17,0.188207,0.232299
93,17,18,0.184334,0.228153
94,15,16,0.173191,0.22453
95,15,16,0.216065,0.220964
96,12,13,0.125119,0.218109
97,12,13,0.190108,0.21529
98,9,10,0.208078,0.213147
99,10,11,0.201047,0.210814
100,15,16,0.183679,0.207466
101,11,12,0.229406,0.20499
102,9,10,0.181913,0.20295
103,18,19,0.199145,0.199128
104,28,29,0.209302,0.193433
105,10,11,0.315262,0.191316
106,8,9,0.195083,0.189601
107,9,10,0.249334,0.187714
108,10,11,0.306254,0.185659
109,12,13,0.241092,0.18326
110,19,20,0.233092,0.17963
111,11,12,0.224085,0.177486
112,31,32,0.234113,0.171893
113,10,11,0.222423,0.170012
114,8,9,0.204135,0.168488
115,10,11,0.256372,0.166644
116,9,10,0.179923,0.164985
117,7,8,0.224958,0.16367
118,7,8,0.218818,0.162365
119,10,11,0.204607,0.160588
120,10,11,0.239987,0.15883
121,9,10,0.229762,0.157249
122,10,11,0.215942,0.155528
123,9,10,0.198023,0.15398
124,9,10,0.236615,0.152447
125,9,10,0.247655,0.150929
126,11,12,0.182895,0.149128
127,8,9,0.283117,0.147791
128,9,10,0.353352,0.14632
129,7,8,0.234803,0.145153
130,11,12,0.202286,0.143421
131,31,32,0.274823,0.138902
132,13,14,0.243857,0.13697
133,8,9,0.276744,0.135742
134,9,10,0.188009,0.134391
135,8,9,0.357586,0.133186
136,28,29,0.259079,0.129377
137,13,14,0.272377,0.127578
138,8,9,0.196835,0.126434
139,8,9,0.212898,0.125301
140,8,9,0.234245,0.124178
141,8,9,0.138356,0.123064
142,9,10,0.27509,0.121839
143,9,10,0.335884,0.120626
144,8,9,0.211707,0.119545
145,14,15,0.258285,0.117764
146,9,10,0.302663,0.116592
147,10,11,0.246445,0.115316
148,9,10,0.320813,0.114168
149,29,30,0.259706,0.110792
150,15,16,0.237351,0.109033
151,8,9,0.297831,0.108055
152,13,14,0.280445,0.106552
153,14,15,0.303865,0.104965
154,13,14,0.245029,0.103505
155,9,10,0.213069,0.102475
156,10,11,0.408692,0.101353
157,12,13,0.265016,0.100043
158,8,9,0.299954,0.0991466
159,9,10,0.285223,0.0981596
160,9,10,0.499196,0.0971824
161,10,11,0.314193,0.0961187
162,31,32,0.33926,0.0930901
163,35,36,0.322201,0.0897969
164,8,9,0.264771,0.0889919
165,8,9,0.302897,0.0881942
166,8,9,0.297567,0.0874036
167,19,20,0.305325,0.085672
168,8,9,0.299809,0.0849041
169,40,41,0.306473,0.0814917
170,21,22,0.252559,0.0797176
171,11,12,0.291424,0.0787662
172,8,9,0.362053,0.0780602
173,20,21,0.26576,0.0764372
174,7,8,0.272708,0.0758278
175,8,9,0.351804,0.0751481
176,8,9,0.221687,0.0744745
177,26,27,0.339338,0.0724896
178,31,32,0.296278,0.0702055
179,72,73,0.336884,0.0652607
180,68,69,0.299149,0.0609075
181,38,39,0.272646,0.0585767
182,26,27,0.262168,0.0570155
183,15,16,0.32273,0.05611
184,65,66,0.348885,0.0525246
185,55,56,0.340184,0.0496627
186,52,53,0.313769,0.0470978
187,86,87,0.342813,0.0431716
188,77,78,0.367382,0.0399307
189,94,95,0.356357,0.0363101
190,35,36,0.352511,0.0350256
191,93,94,0.334889,0.0318817
192,148,149,0.324809,0.0274662
193,124,125,0.347822,0.0242374
194,80,81,0.309845,0.0223506
195,102,103,0.323494,0.0201621
196,101,102,0.348245,0.018206
197,132,133,0.353627,0.0159377
198,71,72,0.395189,0.01483
199,105,106,0.3161,0.0133377
200,95,96,0.281685,0.0121163
201,117,118,0.315091,0.010767
202,69,70,0.362618,0.0100388
203,131,132,0.321934,0.01
204,325,326,0.3795,0.01
205,79,80,0.351676,0.01
206,93,94,0.308668,0.01
207,88,89,0.356101,0.01
208,95,96,0.309463,0.01
209,198,199,0.307863,0.01
210,70,71,0.336002,0.01
211,190,191,0.372226,0.01
212,171,172,0.299049,0.01
213,211,212,0.337319,0.01
214,174,175,0.341618,0.01
215,267,268,0.303479,0.01
216,164,165,0.358756,0.01
217,140,141,0.358633,0.01
218,281,282,0.342581,0.01
219,273,274,0.364494,0.01
