episode,reward,length,loss,epsilon
1,20,21,0,1
2,10,11,0.958774,0.999
3,16,17,0.714427,0.982152
4,14,15,0.422818,0.967523
5,24,25,0.27306,0.943623
6,12,13,0.16942,0.931429
7,41,42,0.121002,0.8931
8,13,14,0.0735393,0.880678
9,16,17,0.0866376,0.865825
10,15,16,0.124557,0.852076
11,22,23,0.0778681,0.832692
12,14,15,0.0881745,0.820289
13,39,40,0.0900305,0.788109
14,12,13,0.0870726,0.777925
15,13,14,0.0690194,0.767104
16,13,14,0.0863256,0.756434
17,12,13,0.06922,0.746659
18,18,19,0.0803096,0.7326
19,15,16,0.0757522,0.720966
20,8,9,0.0631329,0.714503
21,24,25,0.116823,0.696853
22,22,23,0.0908612,0.681001
23,9,10,0.0969936,0.674221
24,9,10,0.0983478,0.667509
25,22,23,0.108602,0.652324
26,10,11,0.108001,0.645184
27,11,12,0.0929834,0.637485
28,16,17,0.081548,0.626734
29,19,20,0.0808564,0.614317
30,14,15,0.101965,0.605167
31,9,10,0.102853,0.599142
32,12,13,0.0976446,0.5914
33,10,11,0.118001,0.584927
34,11,12,0.121895,0.577946
35,15,16,0.128287,0.568768
36,10,11,0.0924739,0.562543
37,21,22,0.117564,0.550296
38,9,10,0.116889,0.544818
39,9,10,0.13239,0.539394
40,25,26,0.147763,0.525544
41,14,15,0.140056,0.517716
42,11,12,0.11682,0.511537
43,8,9,0.13873,0.506952
44,12,13,0.129649,0.500401
45,16,17,0.114403,0.491962
46,10,11,0.118348,0.486577
47,15,16,0.105949,0.47885
48,25,26,0.0889256,0.466554
49,16,17,0.112156,0.458686
50,13,14,0.122914,0.452306
51,10,11,0.122477,0.447355
52,14,15,0.10736,0.440692
53,8,9,0.131278,0.436741
54,33,34,0.137994,0.422135
55,17,18,0.123612,0.4146
56,10,11,0.124276,0.410062
57,11,12,0.10747,0.405169
58,12,13,0.200951,0.399933
59,11,12,0.128671,0.39516
60,12,13,0.163001,0.390054
61,11,12,0.162379,0.385399
62,8,9,0.119706,0.381944
63,8,9,0.201223,0.37852
64,8,9,0.204634,0.375127
65,11,12,0.119795,0.37065
66,14,15,0.139438,0.365129
67,10,11,0.199679,0.361133
68,15,16,0.174512,0.355398
69,10,11,0.181931,0.351508
70,11,12,0.150051,0.347313
71,8,9,0.246992,0.3442
72,9,10,0.157497,0.340773
73,9,10,0.163799,0.337381
74,8,9,0.179401,0.334356
75,10,11,0.204602,0.330697
76,10,11,0.129251,0.327077
77,12,13,0.163228,0.322851
78,8,9,0.174365,0.319957
79,8,9,0.207834,0.317088
80,9,10,0.161242,0.313932
81,9,10,0.218229,0.310807
82,9,10,0.223579,0.307712
83,7,8,0.197861,0.305259
84,12,13,0.20193,0.301315
85,15,16,0.200081,0.29653
86,9,10,0.18355,0.293578
87,9,10,0.178947,0.290655
88,12,13,0.183289,0.286899
89,14,15,0.156872,0.282626
90,15,16,0.22117,0.278137
91,25,26,0.131722,0.270996
92,12,13,0.221622,0.267494
93,9,10,0.159681,0.264831
94,15,16,0.166708,0.260625
95,9,10,0.207581,0.258031
96,9,10,0.191039,0.255462
97,10,11,0.211415,0.252666
98,14,15,0.179804,0.248902
99,18,19,0.15974,0.244215
100,9,10,0.158431,0.241784
101,9,10,0.177552,0.239377
102,9,10,0.229785,0.236994
103,7,8,0.246909,0.235105
104,8,9,0.212438,0.232997
105,10,11,0.213374,0.230447
106,9,10,0.199149,0.228153
107,11,12,0.264142,0.22543
108,8,9,0.1602,0.223409
109,10,11,0.20459,0.220964
110,11,12,0.210789,0.218327
111,9,10,0.149856,0.216154
112,8,9,0.219053,0.214216
113,8,9,0.220328,0.212296
114,9,10,0.22825,0.210182
115,9,10,0.210878,0.20809
116,7,8,0.257749,0.206431
117,10,11,0.209625,0.204172
118,11,12,0.210672,0.201735
119,7,8,0.299213,0.200127
120,10,11,0.257811,0.197936
121,10,11,0.189945,0.19577
122,7,8,0.322437,0.194209
123,10,11,0.252745,0.192084
124,11,12,0.2931,0.189791
125,8,9,0.220997,0.18809
126,9,10,0.257781,0.186217
127,11,12,0.250385,0.183995
128,8,9,0.242577,0.182346
129,11,12,0.144055,0.18017
130,9,10,0.299705,0.178376
131,9,10,0.258343,0.1766
132,10,11,0.237046,0.174667
133,12,13,0.231142,0.17241
134,8,9,0.260569,0.170865
135,9,10,0.270809,0.169164
136,7,8,0.246978,0.167815
137,9,10,0.269396,0.166144
138,13,14,0.212478,0.163834
139,9,10,0.239365,0.162203
140,11,12,0.238583,0.160267
141,8,9,0.241056,0.15883
142,8,9,0.241414,0.157406
143,9,10,0.316665,0.155839
144,10,11,0.201666,0.154134
145,8,9,0.213766,0.152752
146,9,10,0.254931,0.151231
147,9,10,0.209035,0.149726
148,9,10,0.327844,0.148235
149,10,11,0.348036,0.146613
150,13,14,0.223269,0.144574
151,10,11,0.248842,0.142991
152,7,8,0.266461,0.141851
153,10,11,0.252793,0.140299
154,9,10,0.195039,0.138902
155,15,16,0.224192,0.136696
156,12,13,0.278572,0.13493
157,10,11,0.253589,0.133453
158,9,10,0.218949,0.132124
159,12,13,0.261713,0.130417
160,8,9,0.1634,0.129248
161,8,9,0.303505,0.128089
162,9,10,0.216495,0.126814
163,10,11,0.229862,0.125426
164,9,10,0.274443,0.124178
165,16,17,0.217206,0.122083
166,9,10,0.314756,0.120868
167,8,9,0.147771,0.119784
168,10,11,0.275483,0.118473
169,21,22,0.2453,0.115894
170,9,10,0.342926,0.11474
171,8,9,0.233544,0.113712
172,9,10,0.298384,0.11258
173,11,12,0.210525,0.111236
174,13,14,0.255952,0.109689
175,9,10,0.15435,0.108597
176,9,10,0.332827,0.107516
177,11,12,0.296147,0.106233
178,42,43,0.235798,0.10176
179,136,137,0.273482,0.0887252
180,76,77,0.255149,0.0821466
181,34,35,0.29413,0.0793198
182,23,24,0.226669,0.0774379
183,22,23,0.301128,0.0756763
184,23,24,0.241683,0.0738808
185,19,20,0.23287,0.0724171
186,30,31,0.255871,0.0702055
187,22,23,0.227424,0.0686084
188,21,22,0.288545,0.0671148
189,10,11,0.329183,0.0663802
190,31,32,0.250367,0.0642886
191,50,51,0.275088,0.0610906
192,34,35,0.267701,0.0589883
193,84,85,0.252902,0.0541792
194,27,28,0.241269,0.0526825
195,37,38,0.306473,0.0507172
196,35,36,0.2556,0.0489229
197,30,31,0.282394,0.0474289
198,70,71,0.283292,0.0441766
199,53,54,0.290369,0.0418532
200,51,52,0.305544,0.0397314
201,32,33,0.299733,0.038441
202,47,48,0.276813,0.0366386
203,67,68,0.244087,0.0342288
204,110,111,0.32595,0.030631
205,70,71,0.243614,0.0285306
206,91,92,0.360638,0.0260217
207,32,33,0.361862,0.0251766
208,36,37,0.393887,0.0242616
209,69,70,0.316262,0.0226206
210,59,60,0.318046,0.0213026
211,69,70,0.347467,0.0198617
212,46,47,0.374352,0.0189494
213,36,37,0.351859,0.0182607
214,67,68,0.31164,0.0170597
215,75,76,0.320011,0.0158106
216,111,112,0.35645,0.0141346
217,135,136,0.38211,0.0123364
218,122,123,0.37994,0.010908
219,92,93,0.36743,0.01
